throttle_us,voltage_V,current_A,thrust_gf,torque_Nm,speed_rpm,P_elec_W,P_mech_W,eff_motor_esc_pct,eff_prop_gf_per_W,eff_powertrain_gf_per_W
1326.0000,47.3900,1.1900,0.9700,0.3300,1318.1400,56.4000,45.5200,80.7200,21.4000,17.2700
1397.0000,47.3800,2.1000,1.5300,0.5000,1628.3600,99.6300,85.1200,85.4400,17.9800,15.3600
1456.0000,47.3500,3.1100,2.0200,0.6500,1870.5000,147.4200,126.9500,86.1200,15.8800,13.6800
1507.0000,47.2900,4.2400,2.5300,0.8000,2075.8500,200.6700,174.3200,86.8700,14.5300,12.6200
1558.0000,47.2200,5.5900,3.0300,0.9700,2275.7200,263.9600,229.9800,87.1300,13.1800,11.4800
1602.0000,47.1400,6.9300,3.5400,1.1100,2450.0200,326.6400,284.6800,87.1600,12.4200,10.8200
1647.0000,47.0600,8.5200,4.0200,1.2700,2619.9200,401.1200,347.6400,86.6700,11.5600,10.0200
1690.0000,46.9600,10.3900,4.5700,1.4500,2771.7500,487.6800,421.6900,86.4700,10.8400,9.3700
1724.0000,46.8500,11.6800,4.9500,1.5500,2913.0800,547.3800,472.4700,86.3100,10.4800,9.0500
1777.0000,46.6900,14.5500,5.7700,1.8000,3100.1900,679.3100,582.8400,85.8000,9.9100,8.5000
1818.0000,46.5600,16.5100,6.2000,1.9300,3253.2200,768.5400,657.0900,85.5000,9.4300,8.0700
1864.0000,46.3900,19.5600,6.8700,2.1500,3405.4500,907.1400,767.2700,84.5800,8.9600,7.5800
1916.0000,46.1700,22.8800,7.5600,2.3800,3543.7700,1056.5300,881.8800,83.4700,8.5800,7.1600
1951.0000,46.0100,25.3400,8.0500,2.5100,3683.1400,1165.9800,966.4100,82.8800,8.3300,6.9100
1982.0000,45.8500,27.9400,8.5100,2.6500,3782.8900,1280.9200,1049.9000,81.9600,8.1000,6.6400
2000.0000,45.7800,28.3700,8.6400,2.6800,3801.3300,1298.7300,1061.8800,81.7600,8.1400,6.6500
2000.0000,47.2100,32.5500,9.5200,2.7200,4023.4500,1534.2700,1230.4800,80.2100,7.7300,6.2000
